valor_frete,cidade_cliente,estado_cliente,cidade_vendedor,estado_vendedor
409.68,sao raimundo nonato,PI,apucarana,PR
375.28,maringa,PR,sorocaba,SP
375.28,florianopolis,SC,sorocaba,SP
339.59,campos do jordao,SP,sao jose,SC
338.3,colider,MT,sao paulo,SP
322.1,guarani,MG,sao paulo,SP
321.88,cachoeiro de itapemirim,ES,sao paulo,SP
321.46,sao paulo,SP,varginha,MG
317.47,joao pessoa,PB,lages,SC
314.4,maceio,AL,varginha,MG
314.02,pombal,PB,sao paulo,SP
312.41,alto do rodrigues,RN,sao paulo,SP
306.06,joinville,SC,indaiatuba,SP
299.16,campina grande,PB,guarulhos,SP
299.16,campina grande,PB,guarulhos,SP
299.16,campina grande,PB,guarulhos,SP
299.16,campina grande,PB,guarulhos,SP
299.16,campina grande,PB,guarulhos,SP
299.16,campina grande,PB,guarulhos,SP
294.76,brasilia,DF,sorocaba,SP
293.27,alvorada,TO,suzano,SP
284.6,salvador,BA,londrina,PR
269.0,maracaju,MS,botucatu,SP
267.08,sao bento do sul,SC,sao paulo,SP
262.72,camaragibe,PE,varginha,MG
258.28,sanharo,PE,sao paulo,SP
256.13,guanambi,BA,sao paulo,SP
255.92,palmas,TO,sao paulo,SP
254.55,sao luiz gonzaga,RS,sao paulo,SP
252.35,belo horizonte,MG,santana de parnaiba,SP
251.5,araripina,PE,arapongas,PR
251.39,campina grande,PB,juiz de fora,MG
250.57,russas,CE,sao paulo,SP
250.57,parauapebas,PA,sao paulo,SP
250.42,caxias do sul,RS,indaiatuba,SP
248.54,escada,PE,sao paulo,SP
248.54,escada,PE,sao paulo,SP
245.75,sao luis,MA,videira,SC
244.34,cruzeiro,SP,rolandia,PR
239.14,sanharo,PE,sao paulo,SP
237.84,sinop,MT,lages - sc,SC
237.11,balsas,MA,uba,MG
237.11,balsas,MA,uba,MG
237.11,balsas,MA,uba,MG
234.78,cuiaba,MT,londrina,PR
233.59,petrolina,PE,california,PR
232.69,codo,MA,itaquaquecetuba,SP
227.66,marilia,SP,goiania,GO
227.57,santa ines,MA,cataguases,MG
225.71,santos,SP,caxias do sul,RS
224.34,recife,PE,ibitinga,SP
222.38,sao joao batista,SC,divinopolis,MG
221.5,lauro de freitas,BA,lages,SC
220.04,sao paulo,SP,bento goncalves,RS
218.12,salvador,BA,londrina,PR
218.12,salvador,BA,londrina,PR
217.53,ji-parana,RO,sao paluo,SP
215.43,soledade,PB,sao paulo - sp,SP
214.86,brasilia,DF,salto,SP
213.53,salvador,BA,rolandia,PR
211.66,nova era,MG,sao jose,SC
210.09,alhandra,PB,videira,SC
209.63,brasilia,DF,ribeirao preto,SP
207.78,nilopolis,RJ,monte siao,MG
206.5,altamira,PA,uba,MG
206.45,picos,PI,amparo,SP
203.38,itupiranga,PA,fortaleza,CE
202.37,pouso alegre,MG,california,PR
201.46,natal,RN,mogi guacu,SP
200.49,niteroi,RJ,sao paulo,SP
196.94,arroio do sal,RS,sao paulo,SP
196.86,camamu,BA,sao paulo,SP
195.76,brasilia,DF,limeira,SP
194.64,niteroi,RJ,salto,SP
194.64,rio de janeiro,RJ,salto,SP
194.64,rio de janeiro,RJ,salto,SP
194.55,trindade,PE,sao paulo,SP
194.31,campo grande,MS,sao paulo,SP
194.22,coaraci,BA,caxias do sul,RS
193.84,amarante,PI,sao paulo,SP
193.78,sorocaba,SP,uba,MG
193.76,pontes e lacerda,MT,curitiba,PR
193.63,saloa,PE,sao paulo,SP
193.39,colider,MT,itaquaquecetuba,SP
193.28,sobral,CE,pinhais,SP
193.21,vitoria,ES,londrina,PR
192.84,porto alegre,RS,santos,SP
192.48,recife,PE,caxias do sul,RS
191.72,cabedelo,PB,porto ferreira,SP
191.11,pelotas,RS,pedreira,SP
188.65,belem,PA,sao paulo,SP
188.55,sao paulo,SP,caxias do sul,RS
188.55,sao paulo,SP,caxias do sul,RS
187.43,sao joao da boa vista,SP,sao francisco do sul,SC
186.45,fortaleza,CE,sao paulo,SP
186.38,vere,PR,videira,SC
186.01,curaca,BA,rolandia,PR
185.73,campo formoso,BA,santo andre,SP
185.73,campo formoso,BA,sao paulo,SP
185.71,vitoria,ES,sombrio,SC
185.71,belo horizonte,MG,sombrio,SC
185.71,ibirite,MG,sombrio,SC
184.98,caucaia,CE,sao paulo,SP
184.98,fortaleza,CE,sao paulo,SP
181.88,fartura,SP,contagem,MG
178.52,cedral,MA,sao bernardo do campo,SP
178.33,jaguariaiva,PR,uba,MG
178.11,campos sales,CE,santo andre,SP
177.98,navirai,MS,sao paulo,SP
177.94,belford roxo,RJ,varginha,MG
177.26,itajai,SC,riberao preto,SP
176.86,barbacena,MG,sao paulo,SP
175.67,salvador,BA,caxias do sul,RS
175.55,fortaleza,CE,lages,SC
174.95,inhumas,GO,londrina,PR
174.49,niteroi,RJ,uba,MG
174.45,birigui,SP,sorocaba,SP
173.78,presidente prudente,SP,belo horizonte,MG
173.78,presidente prudente,SP,belo horizonte,MG
173.43,rio das ostras,RJ,limeira,SP
173.4,santa maria,RS,valinhos,SP
173.23,sao paulo,SP,fortaleza,CE
173.02,santarem,PA,curitiba,PR
172.99,belo horizonte,MG,sorocaba,SP
172.31,curitiba,PR,fortaleza,CE
171.88,porto alegre,RS,jaragua do sul,SC
171.5,sao bernardo,MA,assis,SP
171.32,sobral,CE,garca,SP
170.86,belo horizonte,MG,mairipora,SP
170.8,fortaleza,CE,teresopolis,RJ
170.51,contagem,MG,londrina,PR
170.11,almino afonso,RN,santa barbara d´oeste,SP
169.12,igarassu,PE,sao paulo,SP
167.05,castro,PR,sao paulo,SP
167.05,castro,PR,sao paulo,SP
167.05,castro,PR,sao paulo,SP
167.05,castro,PR,sao paulo,SP
167.05,castro,PR,sao paulo,SP
167.04,castro,PR,sao paulo,SP
166.91,avelar,RJ,joinville,SC
165.75,manaus,AM,mogi das cruzes,SP
165.55,petropolis,RJ,americana,SP
165.32,recife,PE,rio de janeiro,RJ
165.15,goiania,GO,rio negrinho,SC
164.98,serranopolis,GO,ribeirao das neves,MG
164.93,cascavel,PR,rio de janeiro,RJ
164.84,nucleo residencial pilar,BA,capivari,SP
164.16,rio de janeiro,RJ,videira,SC
163.86,fortaleza,CE,amparo,SP
163.52,sao paulo,SP,belo horizonte,MG
163.52,sao paulo,SP,belo horizonte,MG
163.37,tapiramuta,BA,sao paulo,SP
162.92,rio de janeiro,RJ,sao paulo,SP
162.64,salvador,BA,cachoeirinha,RS
162.4,caetite,BA,sao paulo,SP
162.08,belem,PA,pinhais,PR
161.82,ouro preto do oeste,RO,santo antonio de posse,SP
161.73,ibia,MG,itatiba,SP
161.71,otacilio costa,SC,limeira,SP
161.36,canoas,RS,uba,MG
159.11,nova iguacu,RJ,sao paulo,SP
158.42,birigui,SP,sao  jose dos pinhais,PR
158.38,cedro de sao joao,SE,sao paulo,SP
158.26,avare,SP,videira,SC
157.5,salvador,BA,sao paulo,SP
157.32,santa vitoria,MG,londrina,PR
157.27,reriutaba,CE,ribeirao das neves,MG
157.23,colonia jordaozinho,PR,tubarao,SC
157.01,santa luzia,MG,riberao preto,SP
157.01,lagoa formosa,MG,mogi guacu,SP
156.83,corrente,PI,penapolis,SP
156.05,betim,MG,sao paulo,SP
155.82,rio de janeiro,RJ,rolandia,PR
155.47,nova mamore,RO,santa barbara d´oeste,SP
155.39,rio de janeiro,RJ,porto ferreira,SP
155.33,santa helena,MA,santa barbara d´oeste,SP
155.11,bom jesus,SC,niteroi,RJ
154.9,rio de janeiro,RJ,indaiatuba,SP
154.56,niteroi,RJ,limeira,SP
154.38,porto alegre,RS,sao paulo,SP
154.38,belo horizonte,MG,sao paulo,SP
153.57,belem,PA,limeira,SP
152.54,dourados,MS,araraquara,SP
151.34,araruama,RJ,limeira,SP
151.2,serra,ES,cosmopolis,SP
150.8,belem,PA,mogi das cruzes,SP
150.56,palmas,TO,mogi guacu,SP
150.56,palmas,TO,mogi guacu,SP
150.13,montenegro,RS,sao paulo,SP
150.05,brasilia,DF,japira,PR
149.71,manhuacu,MG,limeira,SP
149.71,tres lagoas,MS,limeira,SP
149.66,juiz de fora,MG,curitiba,PR
149.64,valparaiso de goias,GO,limeira,SP
149.06,florianopolis,SC,uba,MG
149.01,itaporanga,SP,varginha,MG
148.94,nova serrana,MG,limeira,SP
148.88,rio de janeiro,RJ,ibitinga,SP
148.71,oliveira,MG,santa maria,RS
148.36,vitoria da conquista,BA,curitiba,PR
148.27,salvador,BA,videira,SC
148.24,esperanca,PB,osasco,SP
147.65,salvador,BA,conchal,SP
147.57,valente,BA,sao bernardo do campo,SP
147.56,rio de janeiro,RJ,sombrio,SC
147.56,rio de janeiro,RJ,sombrio,SC
147.56,rio de janeiro,RJ,sombrio,SC
147.56,sao goncalo,RJ,sombrio,SC
147.52,campina grande,PB,sao paulo,SP
147.32,canapi,AL,sao paulo,SP
146.3,tangara da serra,MT,mirassol,SP
146.21,macae,RJ,limeira,SP
146.08,manaus,AM,sao paulo,SP
146.03,brasilia,DF,santa barbara d´oeste,SP
145.99,pecanha,MG,sao paulo,SP
145.99,curvelo,MG,sao paulo,SP
145.99,natividade,RJ,sao paulo,SP
145.99,angra dos reis,RJ,sao paulo,SP
145.31,sao paulo,SP,brasilia,DF
145.18,boituva,SP,sao paulo,SP
144.86,boa vista,RR,mogi guacu,SP
144.65,serra,ES,sao paulo,SP
144.38,rio de janeiro,RJ,sao paulo,SP
144.29,barueri,SP,fortaleza,CE
144.29,sao paulo,SP,fortaleza,CE
144.29,goiania,GO,fortaleza,CE
144.09,rio de janeiro,RJ,sao paulo,SP
144.0,arapiraca,AL,sao paulo,SP
143.96,sao joaquim de bicas,MG,sao paulo,SP
143.78,sao miguel do oeste,SC,suzano,SP
143.76,piumhii,MG,blumenau,SC
143.67,maraba,PA,itapevi,SP
143.47,itajai,SC,rolandia,PR
143.45,brasilia,DF,sorocaba,SP
142.97,itumbiara,GO,birigui,SP
142.65,rio de janeiro,RJ,sao paulo,SP
142.49,marilac,MG,mogi guacu,SP
142.49,marilac,MG,mogi guacu,SP
142.47,maracanau,CE,araraquara,SP
142.35,rio de janeiro,RJ,sao paulo,SP
142.33,sao martinho,RS,ibitinga,SP
142.31,nova venecia,ES,curitiba,PR
141.58,sao paulo,SP,tiradentes,MG
141.58,sao paulo,SP,tiradentes,MG
141.36,bauru,SP,arapongas,PR
141.36,rio de janeiro,RJ,londrina,PR
141.26,presidente prudente,SP,sao paulo,SP
140.91,patos de minas,MG,itatiba,SP
140.72,campinas,SP,juiz de fora,MG
140.52,colombo,PR,campo limpo paulista,SP
140.4,sao caetano do sul,SP,lages,SC
140.18,porto alegre,RS,sao paulo,SP
139.48,imperatriz,MA,paulinia,SP
139.18,santo estevao,BA,paincandu,PR
138.91,sao paulo,SP,rolandia,PR
138.33,rio de janeiro,RJ,sao paulo,SP
138.23,corumba,MS,nova trento,SC
137.6,sao benedito,CE,videira,SC
137.6,fortaleza,CE,videira,SC
137.13,estancia velha,RS,arapongas,PR
137.12,estancia velha,RS,curitiba,PR
136.8,para de minas,MG,sao paulo,SP
136.19,maracaju,MS,niteroi,RJ
135.82,ribeirao preto,SP,caxias do sul,RS
135.62,recife,PE,santa barbara d´oeste,SP
135.44,jundiai,SP,indaiatuba,SP
135.4,salvador,BA,sao paulo,SP
135.34,alcobaca,BA,bariri,SP
135.31,rio de janeiro,RJ,sorocaba,SP
135.31,campo grande,MS,londrina,PR
135.19,sao paulo,SP,divinopolis,MG
134.82,florianopolis,SC,guarulhos,SP
134.78,teresina,PI,arapongas,PR
134.59,poco verde,SE,sao paulo,SP
134.25,curitibanos,SC,curitiba,PR
134.25,reginopolis,SP,curitiba,PR
134.17,gurupi,TO,sao paulo,SP
133.88,apucarana,PR,lages - sc,SC
133.88,apucarana,PR,lages - sc,SC
133.87,rio de janeiro,RJ,joao pessoa,PB
133.85,japeri,RJ,itaquaquecetuba,SP
133.85,japeri,RJ,itaquaquecetuba,SP
